id,channel,date_of_birth,country
1,email,1959-12-28,USA
2,email,1974-09-04,UK
3,paid_search,1962-07-09,Australia
4,organic,2010-09-17,Australia
5,direct,1957-10-19,France
6,referral,1952-11-07,USA
7,organic,1969-08-13,UK
8,direct,2004-01-04,USA
9,direct,1967-11-03,Australia
10,email,2012-12-02,France
11,referral,1969-10-11,Germany
12,direct,1974-12-16,USA
13,paid_search,2012-08-19,Germany
14,social_media,1974-12-06,UK
15,paid_search,1980-03-13,USA
16,organic,1984-02-01,USA
17,social_media,1980-11-09,France
18,social_media,1953-11-24,Australia
19,referral,1998-02-09,USA
20,referral,1957-01-26,France
21,social_media,2006-05-26,France
22,social_media,2001-10-18,UK
23,email,1956-03-29,USA
24,email,1970-06-12,Canada
25,organic,1970-11-20,USA
26,referral,1974-12-09,Germany
27,email,1982-09-24,UK
28,social_media,1981-11-15,UK
29,email,1973-12-14,Australia
30,email,2008-02-20,USA
31,direct,2006-12-19,UK
32,direct,2015-06-01,UK
33,paid_search,1991-06-22,Germany
34,social_media,2007-06-02,Australia
35,direct,1969-09-14,Australia
36,social_media,1955-01-07,UK
37,organic,1978-04-20,Germany
38,social_media,1955-12-09,UK
39,direct,2014-05-29,Canada
40,paid_search,2008-10-20,Germany
41,referral,2007-09-03,Germany
42,paid_search,1973-10-06,UK
43,paid_search,2016-11-01,France
44,direct,1973-07-28,Australia
45,direct,1988-06-08,France
46,referral,1982-06-23,UK
47,paid_search,1995-09-18,Germany
48,organic,2017-10-21,USA
49,organic,1963-09-18,Australia
50,paid_search,2011-01-19,Germany
51,direct,1955-09-13,Germany
52,referral,2003-06-18,Germany
53,direct,1972-07-22,France
54,organic,2011-01-12,Australia
55,organic,2011-02-28,France
56,social_media,2007-07-04,Canada
57,organic,1976-05-01,Germany
58,paid_search,1990-09-15,USA
59,email,2014-07-26,Canada
60,direct,2018-05-11,UK
61,direct,1959-07-19,Australia
62,social_media,2007-04-29,France
63,direct,1967-11-05,UK
64,social_media,2018-05-29,UK
65,direct,1997-07-31,USA
66,direct,1979-01-30,Germany
67,organic,1960-01-14,Canada
68,social_media,1971-06-26,USA
69,paid_search,2000-11-25,USA
70,organic,2015-08-31,Germany
71,organic,2018-03-28,France
72,paid_search,1961-07-09,Australia
73,referral,1999-04-29,UK
74,social_media,1997-05-04,France
75,referral,1969-01-01,France
76,email,2011-11-22,UK
77,email,1977-12-19,Germany
78,email,2008-04-21,Canada
79,referral,1996-06-07,Germany
80,organic,1972-03-29,UK
81,organic,1980-05-01,USA
82,direct,1999-09-11,UK
83,direct,1969-10-04,USA
84,organic,2013-07-03,Australia
85,organic,1970-07-16,USA
86,organic,1979-08-24,USA
87,direct,1971-05-09,Canada
88,email,1993-07-20,UK
89,direct,1961-11-14,Australia
90,direct,2001-09-11,Germany
91,paid_search,1992-06-07,Germany
92,paid_search,1958-06-18,USA
93,email,1988-09-02,Canada
94,referral,1986-11-18,Germany
95,email,1954-11-11,Australia
96,email,2007-12-22,USA
97,organic,1986-02-14,Australia
98,social_media,1959-10-21,UK
99,paid_search,1967-01-24,France
100,referral,1962-07-30,Germany
101,paid_search,1974-12-28,Germany
102,paid_search,1956-10-06,Germany
103,direct,1958-10-14,USA
104,email,1998-07-01,USA
105,organic,2017-08-09,UK
106,paid_search,1986-06-18,Germany
107,referral,1969-03-06,Germany
108,organic,1964-10-08,Germany
109,organic,1985-01-10,Canada
110,referral,1975-08-05,Germany
111,email,2015-07-16,France
112,email,2014-06-14,Germany
113,paid_search,1967-01-14,Canada
114,paid_search,1955-04-01,France
115,email,1998-08-23,USA
116,email,1978-02-19,USA
117,organic,2002-05-30,Germany
118,direct,1997-08-25,UK
119,organic,1995-07-24,USA
120,paid_search,1956-02-24,France
121,organic,2010-07-30,UK
122,referral,1960-10-03,France
123,paid_search,2001-12-09,France
124,organic,2005-07-26,USA
125,referral,2008-12-22,France
126,direct,1996-11-25,Canada
127,social_media,1968-04-29,Australia
128,email,1978-03-10,UK
129,social_media,1985-07-05,UK
130,email,2007-11-29,Canada
131,referral,1978-05-14,USA
132,organic,1991-02-12,France
133,direct,1958-12-21,USA
134,direct,1969-02-14,France
135,social_media,1961-11-19,Canada
136,organic,1971-12-01,Canada
137,social_media,1964-02-26,Germany
138,direct,2013-02-12,Canada
139,direct,2008-09-02,France
140,organic,2009-12-01,France
141,social_media,2009-07-07,USA
142,paid_search,1973-09-23,USA
143,organic,2016-08-09,France
144,paid_search,1974-06-08,Canada
145,direct,1968-11-23,Australia
146,social_media,1968-04-07,Australia
147,email,1973-09-07,France
148,referral,1972-07-12,USA
149,organic,2006-11-27,Germany
150,social_media,1953-12-15,USA
151,social_media,1961-09-26,Australia
152,social_media,1964-06-30,Australia
153,referral,1999-06-30,Australia
154,referral,2000-04-27,USA
155,organic,1956-10-01,Australia
156,paid_search,1998-12-12,USA
157,social_media,2002-04-05,France
158,paid_search,1988-07-23,UK
159,organic,1977-08-28,Canada
160,organic,1982-02-06,UK
161,email,1972-05-21,Australia
162,organic,1981-09-24,France
163,referral,2005-09-06,Australia
164,paid_search,1971-03-29,UK
165,paid_search,1986-12-28,USA
166,paid_search,2016-01-30,Canada
167,referral,2010-02-06,Australia
168,paid_search,1973-12-08,UK
169,email,1959-09-13,Germany
170,organic,1992-03-24,UK
171,paid_search,1991-04-19,Canada
172,social_media,1970-06-02,UK
173,organic,2009-03-19,UK
174,referral,1979-06-14,Canada
175,organic,1975-01-16,Canada
176,email,1995-09-14,Germany
177,email,1998-02-08,Canada
178,organic,1960-05-07,Canada
179,paid_search,2002-02-01,Canada
180,organic,1959-09-23,France
181,referral,1981-01-05,Australia
182,social_media,1989-02-24,France
183,direct,1960-05-17,Germany
184,direct,1967-01-20,Canada
185,organic,2013-08-03,Germany
186,organic,1996-08-23,France
187,email,2014-07-18,Australia
188,email,2010-03-02,UK
189,social_media,1988-09-10,USA
190,email,1979-08-16,France
191,social_media,2009-07-07,USA
192,email,1976-12-10,France
193,social_media,2009-10-30,Germany
194,social_media,1986-02-06,Australia
195,social_media,1999-09-27,UK
196,paid_search,1987-09-21,Australia
197,referral,2010-10-07,Australia
198,paid_search,2005-03-22,France
199,social_media,1986-06-07,France
200,organic,1977-04-06,Canada
201,paid_search,1988-07-26,France
202,direct,2008-09-26,Canada
203,referral,1989-08-20,Germany
204,email,1969-03-04,France
205,referral,2016-01-10,UK
206,email,1957-08-10,Canada
207,direct,2009-07-23,Australia
208,direct,1980-01-27,USA
209,paid_search,2010-05-12,Canada
