account_id,event_time,event_type_id,user_id,event_value
988,2025-11-05,4,6.0,
2667,2025-06-26,9,,
3450,2025-05-15,6,,57.28
3504,2025-09-02,1,,
2144,2025-12-04,5,,
4029,2025-07-16,2,3.0,3.43
2837,2024-08-16,4,,
612,2024-12-30,11,,87.34
1806,2025-05-04,12,,
1990,2024-06-23,1,,5.53
1248,2024-10-24,4,,
244,2025-01-09,4,,
2662,2025-11-23,2,2.0,
851,2025-07-28,10,,
2004,2025-03-12,4,,
3302,2025-10-24,3,,
3737,2025-01-22,8,,
2178,2025-06-24,7,9.0,
1733,2025-07-30,3,,87.38
2869,2025-11-15,6,5.0,
610,2025-09-24,7,,3.34
115,2025-07-24,3,,7.39
2479,2025-10-01,11,10.0,
3270,2025-09-06,10,,5.99
3815,2025-11-28,2,1.0,
1866,2025-08-22,5,4.0,
3294,2025-11-21,2,,
285,2025-09-13,12,,41.61
2968,2025-04-02,1,,
183,2025-03-29,5,,86.93
1852,2024-10-13,4,,10.58
3503,2024-11-05,10,,
449,2025-08-26,3,,95.21
2370,2025-11-18,2,,67.74
1866,2025-09-10,4,,
2227,2025-04-25,5,,
2729,2025-11-04,6,,89.22
4171,2025-08-20,4,9.0,49.51
1141,2025-09-25,6,,
4625,2025-02-25,1,7.0,
1733,2025-05-22,7,,27.51
3101,2025-03-19,3,,
4786,2025-07-14,4,,43.73
68,2025-08-07,8,,
1935,2024-06-05,7,5.0,
4937,2025-03-31,9,8.0,19.82
4788,2025-11-13,10,2.0,
1415,2025-10-08,10,,
1650,2025-06-19,11,,
2441,2025-08-01,9,,12.95
1344,2024-05-28,2,1.0,76.82
3372,2025-03-14,4,,
4614,2025-10-10,7,,
3666,2025-10-01,2,,
3058,2025-11-01,2,,
3497,2025-03-01,7,2.0,81.88
4489,2025-04-14,1,2.0,58.72
1990,2025-05-06,9,,
3950,2025-07-18,8,,
3017,2025-08-13,2,,
502,2025-03-10,9,8.0,
2661,2025-07-15,12,2.0,81.99
2667,2025-11-21,12,4.0,
592,2025-11-28,9,9.0,10.34
1700,2025-06-18,12,5.0,
1066,2025-02-22,5,,
426,2025-07-18,12,5.0,
529,2025-08-07,7,,
4069,2025-09-17,5,6.0,
3610,2025-10-15,5,,
3823,2025-10-25,1,,
1939,2025-09-02,9,,
333,2025-03-11,5,,11.3
4055,2025-07-07,2,,5.33
3854,2025-09-05,8,,
833,2024-03-02,8,2.0,72.61
3666,2025-11-03,7,,
4978,2025-12-01,3,,
361,2025-11-25,8,5.0,
4953,2025-01-11,9,7.0,
769,2025-08-02,3,5.0,26.35
3344,2025-07-25,6,,
2109,2025-09-30,8,,79.3
2093,2025-07-02,4,,3.53
2823,2025-09-13,2,,
3108,2025-08-17,10,,11.84
2935,2025-10-26,12,4.0,62.78
2119,2024-11-17,8,7.0,82.56
809,2025-06-02,4,,70.06
1644,2025-06-23,9,,
368,2025-11-06,5,,
745,2025-12-06,1,,4.9
313,2025-01-11,12,,
344,2025-12-06,3,,96.18
2786,2025-10-01,12,7.0,39.59
4598,2025-09-18,2,,
3272,2025-08-11,2,,93.78
2108,2024-05-21,2,,
4093,2025-08-23,6,,
2929,2024-07-15,6,,59.38
1454,2025-05-20,7,6.0,46.58
1281,2025-06-24,6,4.0,87.3
288,2025-09-10,11,,5.67
3942,2025-09-23,7,7.0,
4310,2025-09-05,12,,
672,2025-05-07,4,3.0,60.69
4316,2025-10-25,9,,86.92
4210,2025-12-05,2,,58.71
4392,2025-11-14,4,1.0,5.7
1126,2025-10-10,7,,73.8
