event_id,customer_id,subscription_id,event_type,event_date,event_value,created_at
1,175,3187,login,2024-01-22,84.94,2024-01-22 00:00:00
2,795,3283,invite,2024-03-03,12.22,2024-03-03 00:00:00
3,922,384,settings_change,2024-02-28,78.75,2024-02-28 00:00:00
4,3761,1621,api_call,2023-12-24,1.3,2023-12-24 00:00:00
5,4053,3825,feature_usage,2023-06-22,91.64,2023-06-22 00:00:00
6,3692,3327,login,2023-06-05,45.07,2023-06-05 00:00:00
7,4712,4678,profile_update,2024-11-14,93.82,2024-11-14 00:00:00
8,4900,5314,invite,2024-02-29,44.1,2024-02-29 00:00:00
9,1873,5537,api_call,2024-09-19,23.18,2024-09-19 00:00:00
10,4178,4283,api_call,2023-09-15,49.61,2023-09-15 00:00:00
11,4392,2424,invite,2024-02-03,75.32,2024-02-03 00:00:00
12,3397,4289,settings_change,2024-03-07,63.62,2024-03-07 00:00:00
13,4920,5732,profile_update,2023-10-05,60.44,2023-10-05 00:00:00
14,926,2463,download,2023-05-26,10.73,2023-05-26 00:00:00
15,387,4374,share,2024-11-21,94.63,2024-11-21 00:00:00
16,4250,3835,payment,2024-06-27,6.77,2024-06-27 00:00:00
17,180,2010,support_ticket,2024-02-16,10.92,2024-02-16 00:00:00
18,3876,4412,share,2023-07-25,29.38,2023-07-25 00:00:00
19,298,303,export_data,2023-12-15,25.31,2023-12-15 00:00:00
20,3884,4365,api_call,2024-11-10,17.51,2024-11-10 00:00:00
21,2721,4605,feature_usage,2024-01-09,10.36,2024-01-09 00:00:00
22,4488,5297,export_data,2024-11-26,4.18,2024-11-26 00:00:00
23,2136,2879,settings_change,2024-06-22,30.02,2024-06-22 00:00:00
24,1032,3368,settings_change,2023-03-01,29.38,2023-03-01 00:00:00
25,4406,1400,settings_change,2024-12-10,28.27,2024-12-10 00:00:00
26,4130,1768,share,2024-02-14,56.47,2024-02-14 00:00:00
27,3286,5567,api_call,2023-07-27,68.32,2023-07-27 00:00:00
28,3695,2162,download,2023-11-12,55.78,2023-11-12 00:00:00
29,4994,2392,payment,2024-01-05,67.94,2024-01-05 00:00:00
30,154,205,invite,2023-11-28,85.26,2023-11-28 00:00:00
31,140,1358,export_data,2023-05-05,38.72,2023-05-05 00:00:00
32,1583,111,api_call,2023-08-03,52.36,2023-08-03 00:00:00
33,2503,4087,feature_usage,2024-02-14,89.42,2024-02-14 00:00:00
34,1858,3847,login,2023-12-26,64.77,2023-12-26 00:00:00
35,151,4872,settings_change,2024-11-10,81.81,2024-11-10 00:00:00
36,569,5053,profile_update,2024-05-24,21.79,2024-05-24 00:00:00
37,463,2026,upload,2024-04-20,29.02,2024-04-20 00:00:00
38,2564,2710,login,2023-06-19,52.8,2023-06-19 00:00:00
39,4483,3152,download,2024-09-20,40.75,2024-09-20 00:00:00
40,4070,3189,api_call,2024-03-24,75.62,2024-03-24 00:00:00
41,67,4627,export_data,2023-10-17,62.35,2023-10-17 00:00:00
42,1753,3454,api_call,2024-07-19,0.85,2024-07-19 00:00:00
43,3271,4616,invite,2024-05-22,24.24,2024-05-22 00:00:00
44,4056,1872,login,2023-06-28,47.19,2023-06-28 00:00:00
45,4142,4282,upload,2024-02-08,55.92,2024-02-08 00:00:00
46,4637,2212,share,2024-12-09,11.72,2024-12-09 00:00:00
47,1764,1528,feature_usage,2024-04-16,7.77,2024-04-16 00:00:00
48,516,2337,profile_update,2024-06-07,41.5,2024-06-07 00:00:00
49,334,2779,payment,2024-01-05,82.92,2024-01-05 00:00:00
50,2945,1110,payment,2024-07-10,49.33,2024-07-10 00:00:00
51,464,2284,support_ticket,2024-06-27,98.75,2024-06-27 00:00:00
52,1666,1644,profile_update,2024-11-07,55.27,2024-11-07 00:00:00
53,742,2734,login,2023-10-31,87.46,2023-10-31 00:00:00
54,471,2858,support_ticket,2023-04-19,53.07,2023-04-19 00:00:00
55,1757,4058,share,2024-06-18,80.38,2024-06-18 00:00:00
56,1465,3137,login,2024-05-05,35.75,2024-05-05 00:00:00
57,4638,5254,download,2024-03-10,67.96,2024-03-10 00:00:00
58,1361,4362,download,2023-09-15,41.76,2023-09-15 00:00:00
59,1858,3847,payment,2024-03-05,48.88,2024-03-05 00:00:00
60,238,1480,feature_usage,2024-06-26,59.46,2024-06-26 00:00:00
61,3132,1736,upload,2023-11-13,75.96,2023-11-13 00:00:00
62,4182,377,export_data,2024-08-02,92.88,2024-08-02 00:00:00
63,3978,4418,share,2024-04-15,34.16,2024-04-15 00:00:00
64,2159,1381,feature_usage,2024-08-10,18.93,2024-08-10 00:00:00
65,641,2190,upload,2024-04-29,57.62,2024-04-29 00:00:00
66,823,3037,payment,2024-05-03,94.8,2024-05-03 00:00:00
67,4172,922,feature_usage,2024-05-14,69.44,2024-05-14 00:00:00
68,1576,1155,share,2024-01-17,22.89,2024-01-17 00:00:00
69,1315,2865,support_ticket,2024-02-08,35.54,2024-02-08 00:00:00
70,3894,5816,upload,2023-12-03,67.79,2023-12-03 00:00:00
71,1471,1932,profile_update,2024-08-22,14.62,2024-08-22 00:00:00
72,2309,1672,share,2024-12-25,13.95,2024-12-25 00:00:00
73,3599,2644,export_data,2024-05-17,84.36,2024-05-17 00:00:00
74,3195,2754,api_call,2023-07-31,11.25,2023-07-31 00:00:00
75,164,1340,share,2024-07-22,94.83,2024-07-22 00:00:00
76,1733,3764,feature_usage,2024-02-23,31.47,2024-02-23 00:00:00
77,3438,2636,payment,2024-08-09,89.32,2024-08-09 00:00:00
78,1305,4273,profile_update,2024-03-17,86.46,2024-03-17 00:00:00
79,3509,2315,share,2023-04-06,45.99,2023-04-06 00:00:00
80,4545,5722,api_call,2023-11-16,42.05,2023-11-16 00:00:00
