account_id,metric_time,metric_name_id,metric_value
1385,2025-10-21 15:39:48.943389,3,76.81
4151,2025-09-09 15:39:48.943569,2,62.74
1468,2025-10-26 15:39:48.943690,7,83.94
2879,2025-12-04 15:39:48.943804,7,54.89
4842,2025-11-26 15:39:48.943917,8,27.74
910,2025-10-28 15:39:48.944027,7,38.0
3738,2025-12-06 15:39:48.944134,10,83.56
4051,2025-12-01 15:39:48.944245,3,47.45
407,2025-10-27 15:39:48.944354,9,90.96
4567,2025-11-25 15:39:48.944463,9,97.53
552,2025-11-09 15:39:48.944570,5,99.76
2422,2025-09-24 15:39:48.944678,4,50.17
11,2025-09-30 15:39:48.944784,5,54.57
1540,2025-11-02 15:39:48.944892,3,63.58
4482,2025-09-23 15:39:48.944998,2,83.47
1428,2025-11-05 15:39:48.945104,4,87.16
4877,2025-11-11 15:39:48.945209,1,97.53
4811,2025-11-20 15:39:48.945317,10,7.75
4564,2025-11-07 15:39:48.945421,5,57.31
2595,2025-10-09 15:39:48.945527,1,51.6
1252,2025-10-02 15:39:48.945635,3,87.52
504,2025-10-31 15:39:48.945740,10,60.09
3086,2025-10-23 15:39:48.945845,2,30.47
3020,2025-11-16 15:39:48.945950,8,55.27
3476,2025-11-07 15:39:48.946056,4,20.8
1070,2025-10-27 15:39:48.946162,3,31.6
2368,2025-09-11 15:39:48.946264,9,31.66
4598,2025-11-27 15:39:48.946368,5,29.65
3814,2025-10-18 15:39:48.946473,5,11.9
4008,2025-10-30 15:39:48.946578,7,34.68
2655,2025-11-20 15:39:48.946682,8,42.69
3611,2025-11-03 15:39:48.946788,10,88.71
277,2025-09-27 15:39:48.946891,8,60.24
4556,2025-11-15 15:39:48.946996,9,3.09
4516,2025-11-12 15:39:48.947099,6,73.07
921,2025-10-11 15:39:48.947202,4,54.11
3028,2025-09-12 15:39:48.947304,3,92.66
3291,2025-11-07 15:39:48.947407,9,20.11
4530,2025-11-15 15:39:48.947511,9,97.56
1730,2025-09-29 15:39:48.947610,1,7.06
963,2025-11-28 15:39:48.947710,8,4.93
4436,2025-10-01 15:39:48.947813,7,88.5
2246,2025-09-24 15:39:48.947913,7,26.21
340,2025-09-12 15:39:48.948014,7,78.86
3696,2025-09-13 15:39:48.948113,3,61.83
1235,2025-11-13 15:39:48.948214,4,75.77
3588,2025-09-10 15:39:48.948316,3,8.44
1090,2025-10-16 15:39:48.948417,8,36.03
4954,2025-11-01 15:39:48.948519,4,81.7
4512,2025-12-01 15:39:48.948620,2,84.33
4577,2025-11-03 15:39:48.948720,7,20.21
2875,2025-12-03 15:39:48.948822,4,34.56
864,2025-09-17 15:39:48.948924,10,7.61
104,2025-10-31 15:39:48.949032,5,29.35
2040,2025-12-02 15:39:48.949134,2,48.27
3470,2025-10-21 15:39:48.949236,7,18.05
4518,2025-10-21 15:39:48.949338,8,93.61
4796,2025-10-21 15:39:48.949598,10,21.85
4537,2025-12-02 15:39:48.949790,7,61.18
4615,2025-09-15 15:39:48.949913,9,86.07
680,2025-09-28 15:39:48.950024,6,97.06
2914,2025-10-30 15:39:48.950135,7,90.78
1565,2025-10-31 15:39:48.950242,1,75.19
2706,2025-10-24 15:39:48.950348,9,65.94
3999,2025-11-27 15:39:48.950454,1,62.76
3363,2025-11-07 15:39:48.950559,4,1.39
859,2025-11-01 15:39:48.950663,2,22.57
213,2025-11-14 15:39:48.950765,10,41.52
1507,2025-09-20 15:39:48.950869,2,74.94
170,2025-09-22 15:39:48.950974,5,26.65
63,2025-09-20 15:39:48.951077,6,11.9
673,2025-11-01 15:39:48.951179,9,93.06
610,2025-10-05 15:39:48.951281,1,55.08
4652,2025-11-17 15:39:48.951384,9,22.14
3737,2025-10-05 15:39:48.951486,6,97.29
4634,2025-11-13 15:39:48.951590,9,46.44
1449,2025-11-02 15:39:48.951692,5,51.99
3036,2025-09-26 15:39:48.951794,6,52.11
3716,2025-10-20 15:39:48.951898,7,80.12
4876,2025-11-11 15:39:48.952000,5,48.95
1033,2025-10-29 15:39:48.952106,2,7.05
4688,2025-09-26 15:39:48.952210,1,79.11
3270,2025-10-22 15:39:48.952313,9,37.65
