account_id,product,start_date,end_date,mrr,quantity,units,bill_period_months,discount
4614,Premium,2025-07-16,,37.4925,5,users,12,0.25
3228,Basic,2024-11-16,,8.4915,5,seats,12,0.15
4719,Premium,2023-12-23,,42.4915,1,licenses,3,0.15
3308,Basic,2025-11-06,,9.99,1,seats,1,0.0
871,Enterprise,2025-01-09,,74.99249999999999,5,seats,12,0.25
864,Standard,2024-10-02,,29.99,3,users,12,0.0
938,Basic,2024-09-10,,8.4915,5,seats,1,0.15
1426,Premium,2023-12-22,,49.99,5,licenses,1,0.0
4559,Standard,2025-03-23,,23.992,1,seats,3,0.2
1649,Standard,2024-06-13,,29.99,1,licenses,12,0.0
199,Basic,2025-11-02,,9.99,1,users,3,0.0
4656,Basic,2025-05-31,,7.992000000000001,5,licenses,6,0.2
4065,Standard,2024-05-01,,25.4915,1,users,3,0.15
4577,Standard,2024-09-13,,26.991,1,licenses,1,0.1
641,Standard,2025-08-25,2025-12-22,29.99,3,licenses,6,0.0
2711,Basic,2025-02-13,,9.99,2,licenses,3,0.0
2932,Basic,2025-02-15,2025-12-07,9.99,3,licenses,3,0.0
4097,Premium,2024-03-13,2025-03-06,49.99,3,users,12,0.0
2155,Basic,2024-12-25,,9.99,1,seats,1,0.0
1142,Standard,2024-01-27,,29.99,1,users,6,0.0
598,Basic,2025-09-25,,8.4915,5,licenses,6,0.15
661,Enterprise,2025-03-04,,99.99,1,users,3,0.0
4159,Standard,2024-09-21,,22.4925,1,seats,6,0.25
454,Basic,2024-06-07,,8.991,5,licenses,3,0.1
149,Enterprise,2024-11-05,,79.992,1,users,1,0.2
3497,Standard,2024-09-14,2025-07-27,29.99,1,seats,1,0.0
2811,Enterprise,2025-04-07,2026-02-03,99.99,1,users,1,0.0
4393,Basic,2025-03-26,,9.99,1,seats,1,0.0
3593,Standard,2025-10-23,,25.4915,5,seats,6,0.15
2396,Standard,2024-08-03,,23.992,1,seats,12,0.2
2050,Standard,2023-12-15,,29.99,1,users,12,0.0
2480,Premium,2024-02-06,2024-06-22,49.99,5,licenses,6,0.0
4125,Basic,2024-12-17,,7.992000000000001,3,users,1,0.2
2292,Basic,2025-07-19,,8.4915,1,users,3,0.15
4530,Standard,2024-11-20,,22.4925,1,seats,1,0.25
1926,Enterprise,2025-08-12,2025-08-30,99.99,1,licenses,12,0.0
3148,Premium,2025-10-06,,42.4915,2,users,1,0.15
155,Enterprise,2024-09-08,2024-12-23,89.991,1,licenses,12,0.1
3532,Basic,2025-11-04,,9.99,1,licenses,6,0.0
2755,Premium,2025-11-08,,37.4925,3,users,3,0.25
3503,Basic,2024-05-19,,7.992000000000001,5,users,1,0.2
4381,Enterprise,2024-04-29,,74.99249999999999,3,users,12,0.25
1332,Enterprise,2025-04-07,2025-04-15,99.99,5,users,12,0.0
701,Standard,2024-12-26,,29.99,3,users,6,0.0
2964,Premium,2024-02-07,,42.4915,1,seats,6,0.15
2515,Premium,2025-06-06,,49.99,2,seats,6,0.0
3822,Basic,2024-08-02,,8.4915,1,users,6,0.15
480,Basic,2024-03-22,,9.99,2,seats,6,0.0
2114,Premium,2024-07-18,2025-06-06,49.99,1,licenses,6,0.0
407,Standard,2024-02-05,2025-01-21,25.4915,2,licenses,1,0.15
2600,Basic,2025-10-05,,9.99,1,seats,3,0.0
2895,Basic,2024-12-13,2025-08-30,8.991,1,licenses,3,0.1
635,Standard,2025-01-07,,22.4925,5,users,3,0.25
585,Enterprise,2025-07-13,2026-05-20,74.99249999999999,1,users,6,0.25
3344,Premium,2025-02-08,,49.99,1,seats,12,0.0
2383,Standard,2025-08-20,,22.4925,1,licenses,1,0.25
4164,Premium,2024-11-14,,49.99,5,licenses,3,0.0
1230,Enterprise,2025-09-18,,99.99,3,licenses,1,0.0
4706,Enterprise,2024-06-14,,84.99149999999999,2,licenses,1,0.15
4297,Enterprise,2025-03-06,2025-12-26,99.99,1,users,6,0.0
1992,Premium,2024-08-27,,49.99,5,seats,3,0.0
3646,Enterprise,2025-09-16,,84.99149999999999,1,users,6,0.15
3967,Standard,2024-10-04,2024-12-08,25.4915,1,users,12,0.15
4791,Standard,2025-02-16,,29.99,1,users,6,0.0
3450,Standard,2024-02-28,,29.99,1,users,12,0.0
128,Standard,2024-10-04,,25.4915,5,users,1,0.15
828,Standard,2024-09-21,2024-12-16,29.99,1,licenses,1,0.0
4337,Enterprise,2024-12-09,2025-12-01,84.99149999999999,1,licenses,12,0.15
2404,Basic,2024-12-27,,8.4915,1,licenses,6,0.15
371,Basic,2024-09-03,,7.992000000000001,2,licenses,6,0.2
3570,Premium,2023-12-21,2024-03-24,39.992000000000004,3,licenses,12,0.2
687,Standard,2024-04-08,,23.992,5,users,1,0.2
3108,Premium,2025-06-09,,42.4915,1,seats,12,0.15
1903,Premium,2024-12-22,2025-09-14,42.4915,3,licenses,12,0.15
3496,Premium,2024-11-08,,49.99,1,seats,6,0.0
1726,Enterprise,2024-04-27,,99.99,1,users,6,0.0
2334,Standard,2025-02-15,,26.991,1,seats,1,0.1
2364,Premium,2025-04-13,,49.99,1,seats,1,0.0
