subscription_id,customer_id,plan_id,plan_name,mrr,start_date,end_date,status,billing_period,created_at
1,1502,1,Basic,9.99,2023-05-08,2023-10-05,churned,annual,2023-05-08 00:00:00
2,1079,3,Premium,49.99,2023-12-18,,active,monthly,2023-12-18 00:00:00
3,1106,3,Premium,49.99,2023-08-28,,active,monthly,2023-08-28 00:00:00
4,2078,1,Basic,9.99,2023-06-23,,active,monthly,2023-06-23 00:00:00
5,3903,2,Standard,19.99,2023-02-21,,active,monthly,2023-02-21 00:00:00
6,97,3,Premium,49.99,2023-06-30,,active,annual,2023-06-30 00:00:00
7,1557,3,Premium,49.99,2024-01-10,,active,annual,2024-01-10 00:00:00
8,2262,2,Standard,19.99,2023-02-25,2023-08-24,churned,monthly,2023-02-25 00:00:00
9,577,2,Standard,19.99,2023-12-20,,active,annual,2023-12-20 00:00:00
10,531,4,Enterprise,99.99,2023-05-29,2024-02-23,churned,monthly,2023-05-29 00:00:00
11,2259,4,Enterprise,99.99,2023-11-18,2024-05-16,churned,monthly,2023-11-18 00:00:00
12,4859,4,Enterprise,99.99,2023-02-21,,active,annual,2023-02-21 00:00:00
13,1025,1,Basic,9.99,2023-01-23,,active,monthly,2023-01-23 00:00:00
14,1214,3,Premium,49.99,2023-04-06,2023-05-06,churned,annual,2023-04-06 00:00:00
15,749,2,Standard,19.99,2023-10-31,,active,annual,2023-10-31 00:00:00
16,376,3,Premium,49.99,2023-03-27,,active,monthly,2023-03-27 00:00:00
17,39,3,Premium,49.99,2023-03-04,,active,annual,2023-03-04 00:00:00
18,2870,2,Standard,19.99,2023-05-26,,active,monthly,2023-05-26 00:00:00
19,356,1,Basic,9.99,2023-12-13,,active,monthly,2023-12-13 00:00:00
20,2281,3,Premium,49.99,2023-08-23,,active,annual,2023-08-23 00:00:00
21,224,1,Basic,9.99,2023-02-23,,active,monthly,2023-02-23 00:00:00
22,1123,3,Premium,49.99,2023-04-30,2024-03-25,churned,annual,2023-04-30 00:00:00
23,4919,1,Basic,9.99,2024-01-11,,active,monthly,2024-01-11 00:00:00
24,4390,4,Enterprise,99.99,2023-03-03,,active,monthly,2023-03-03 00:00:00
25,1467,4,Enterprise,99.99,2023-12-29,,active,annual,2023-12-29 00:00:00
26,2782,4,Enterprise,99.99,2023-03-28,2024-01-22,churned,annual,2023-03-28 00:00:00
27,3197,3,Premium,49.99,2023-08-10,,active,annual,2023-08-10 00:00:00
28,245,1,Basic,9.99,2023-09-29,2024-03-27,churned,annual,2023-09-29 00:00:00
29,1378,3,Premium,49.99,2023-04-15,,active,annual,2023-04-15 00:00:00
30,3571,1,Basic,9.99,2023-10-14,,active,annual,2023-10-14 00:00:00
31,3932,4,Enterprise,99.99,2023-02-15,,active,monthly,2023-02-15 00:00:00
32,2826,3,Premium,49.99,2023-04-19,,active,monthly,2023-04-19 00:00:00
33,1405,1,Basic,9.99,2023-01-30,,active,monthly,2023-01-30 00:00:00
34,354,4,Enterprise,99.99,2023-11-09,,active,monthly,2023-11-09 00:00:00
35,1911,2,Standard,19.99,2023-02-19,,active,monthly,2023-02-19 00:00:00
36,995,1,Basic,9.99,2023-09-01,,active,annual,2023-09-01 00:00:00
